student_firstname,student_lastname,student_middlename,student_address,birthdate,birthplace,student_phonenumber,studenttype,sex,yearstarted,gradestarted,yearexpelled,yeardroppedout,yeargraduated,schoolfrom,schoolto,parent_firstname,parent_lastname,parent_address,econtact_firstname,econtact_lastname,econtact_address,econtact_phonenumber
Patrice,Broadberry,Pretsel,3368 Roxbury Place,9/14/1995,Yahil・・nytsya,(330) 5964734,Graduate,Male,2012,1st grade,2007,0,2002,,,Ezechiel,Broadberry,3368 Roxbury Place,Haleigh,Garard,528 Hudson Trail,969-802-6043
Mariska,Cornely,Scarre,2 Caliangt Park,10/25/2001,Linshi,(450) 2932188,Graduate,Female,1995,1st grade,1996,0,2013,,,Greer,Cornely,2 Caliangt Park,Lilian,Wyllcocks,39259 Oriole Drive,678-934-2213
Shurlock,Scarsbrick,Tabbernor,1794 Mosinee Trail,5/18/2010,Caluire-et-Cuire,(510) 8166124,Graduate,Male,2000,1st grade,2000,0,2003,,,Wakefield,Scarsbrick,1794 Mosinee Trail,Burton,Viall,997 Menomonie Center,349-675-4077
Bernadine,Jobes,Bemand,4849 Acker Lane,7/17/2003,ﾃ・rgﾃｶn,(599) 3375620,Undergraduate,Female,1992,1st grade,1995,0,2000,,,Jillane,Jobes,4849 Acker Lane,Raquela,Oxbrough,7 Prentice Lane,787-238-2807
Mervin,Fatharly,Armistead,674 Homewood Way,3/9/2013,Daqian,(293) 5991456,Graduate,Male,2007,1st grade,1984,0,1997,,,Elia,Fatharly,674 Homewood Way,Brooks,Rippen,1732 Rutledge Terrace,819-465-5223
Darelle,Erratt,Newlands,02138 Marquette Hill,5/16/2002,Ursk,(175) 7866144,Undergraduate,Female,2005,1st grade,2002,0,2011,University of Santo Tomas,Ateneo de Manila University,Correy,Erratt,02138 Marquette Hill,Genni,Hutchins,9 Steensland Crossing,489-769-6543
Tilda,Beckinsall,Blaxeland,24176 Grim Court,11/24/2005,Tayabamba,(483) 7012391,Graduate,Female,1988,1st grade,2010,0,1999,De La Salle University,Ateneo de Manila University,Yolande,Beckinsall,24176 Grim Court,Gratiana,Bosher,7224 Arapahoe Pass,965-485-0248
Kaylee,Kilday,Eade,42 Vermont Road,2/24/1996,Tazemmourt,(380) 3611830,Graduate,Female,2003,1st grade,1998,0,1994,,,Drusie,Kilday,42 Vermont Road,Brett,Bruineman,29 John Wall Way,650-411-4503
Merwyn,Flegg,Bodill,5089 Melrose Avenue,8/2/2014,Isdalstﾃｸ,(258) 1282667,Undergraduate,Male,2008,1st grade,2006,0,2002,,,Simmonds,Flegg,5089 Melrose Avenue,Sauncho,Menezes,599 Sauthoff Place,713-588-9347
Aili,Ahrend,Francesconi,8565 Prairieview Pass,7/22/2010,Yangkou,(764) 1045603,Undergraduate,Female,1969,1st grade,2008,0,2010,,,Leone,Ahrend,8565 Prairieview Pass,Merci,Howes,53593 Norway Maple Place,947-551-2087
Rick,Walesby,Royson,63 Summer Ridge Parkway,6/3/2000,Moscavide,(458) 8316421,Undergraduate,Male,1990,1st grade,1997,2011,2000,,,Curr,Walesby,63 Summer Ridge Parkway,Kaleb,Oxx,8139 3rd Way,696-917-0502
Mignonne,Badsworth,Faucett,36394 Calypso Lane,11/24/1998,Taupo,(119) 8504519,Graduate,Female,2013,1st grade,2006,0,2009,,,Ciel,Badsworth,36394 Calypso Lane,Mirabel,Bullivent,6039 Lakewood Gardens Park,374-800-1910
Clarine,Yegoshin,Essberger,477 Oneill Circle,9/8/2005,Prao,(662) 4296872,Graduate,Female,1994,1st grade,1992,0,2010,,,Rhody,Yegoshin,477 Oneill Circle,Bess,Brewis,8 Sundown Way,951-909-5533
Dalli,Winchurch,De Michele,5 Waywood Circle,2/26/1994,Skidal・・,(279) 8763875,Undergraduate,Male,1994,1st grade,2004,0,2001,,,Base,Winchurch,5 Waywood Circle,Olav,Stygall,740 Pearson Parkway,476-135-0370
Law,Barnhart,Coldbath,809 Jenna Junction,9/20/2003,Changfu,(607) 4410044,Undergraduate,Male,1988,1st grade,2009,0,1985,University of Santo Tomas,Ateneo de Manila University,Isaac,Barnhart,809 Jenna Junction,Rob,Baggally,04640 Gulseth Lane,701-240-1310
Sosanna,Rexworthy,Merring,6448 Spaight Street,9/5/2009,Mﾄｫrﾄ・bﾄ・d,(124) 5885919,Graduate,Female,2002,1st grade,2012,1993,2001,University of the Philippines,Ateneo de Manila University,Blake,Rexworthy,6448 Spaight Street,Fulvia,Brightey,51 Rockefeller Road,199-846-3005
Farrah,Isley,Bream,66 Reindahl Point,5/28/2002,Verkhnya Syrovatka,(795) 1708874,Graduate,Female,1999,1st grade,2003,2008,1998,,,Brittaney,Isley,66 Reindahl Point,Jamima,Dollard,2 Village Green Place,146-602-5248
Sidonia,Roadknight,Ebbitt,56045 Coolidge Lane,5/17/2004,Kaﾃｩlﾃｩ,(687) 9537151,Graduate,Female,2011,1st grade,2009,0,2006,,,Hermina,Roadknight,56045 Coolidge Lane,Teena,Waison,25593 Birchwood Center,555-322-9337
Sonya,Leteurtre,Derkes,36444 Goodland Road,11/5/1996,San Felipe,(831) 7598594,Undergraduate,Female,2006,1st grade,2008,0,2007,,,Alice,Leteurtre,36444 Goodland Road,Ilse,Temprell,39199 Thompson Crossing,289-338-9472
Jacqui,Tramel,Kinset,6 Ruskin Circle,2/22/2010,Del Valle,(179) 3602829,Graduate,Female,1992,1st grade,2011,2001,2012,,,Hilde,Tramel,6 Ruskin Circle,Alyssa,Reitenbach,1502 Service Drive,659-620-0045
Gertie,Ccomini,Prigmore,51 Briar Crest Way,8/3/2003,Maranura,(183) 4602158,Graduate,Female,2008,1st grade,1997,0,2004,,,Corabel,Ccomini,51 Briar Crest Way,Genny,Greenig,981 Monterey Point,695-394-2393
Eb,Seywood,Girkins,74436 Nancy Road,10/7/2013,Labuhansumbawa,(520) 5012326,Graduate,Male,1998,1st grade,2009,0,2002,,,Tabbie,Seywood,74436 Nancy Road,Mauricio,Burkill,53 Declaration Court,402-442-0772
Marcella,Reeday,Arthy,008 Kennedy Park,2/15/2004,Dortmund,(576) 5712225,Undergraduate,Female,1993,1st grade,1997,0,2001,,,Lyda,Reeday,008 Kennedy Park,Beth,Kubes,4 Hansons Alley,326-901-1789
Chrisy,Dufty,Tribbeck,25 David Avenue,7/17/2011,Yangzhuang,(330) 4262919,Graduate,Male,1997,1st grade,1997,0,1989,,,Earvin,Dufty,25 David Avenue,Johny,Fidgeon,6 Warrior Point,809-615-4771
Mart,Cartwight,Rodolphe,485 Troy Parkway,2/11/1998,Erhe,(353) 5307882,Undergraduate,Male,2007,1st grade,1999,0,2009,,,Lindon,Cartwight,485 Troy Parkway,Court,Iffe,98708 Fair Oaks Park,546-683-4629
Anne-corinne,Marchington,Whale,3 Esker Terrace,9/14/2013,Ekenﾃ､s,(116) 1265435,Undergraduate,Female,2011,1st grade,2010,0,2002,,,Aundrea,Marchington,3 Esker Terrace,Sue,Ottawell,8253 Evergreen Plaza,163-548-5545
Ange,Leaver,Sandford,5 Charing Cross Trail,7/3/1996,Miribel,(659) 5782248,Undergraduate,Female,2007,1st grade,2010,0,1996,,,Sharona,Leaver,5 Charing Cross Trail,Tedi,Oglevie,60635 Moose Point,690-657-0936
Avictor,Whitehorn,Prowting,5714 Rusk Place,9/25/1995,Paraguarﾃｭ,(898) 8586857,Undergraduate,Male,1993,1st grade,2007,0,1996,University of Santo Tomas,Ateneo de Manila University,Pip,Whitehorn,5714 Rusk Place,Mike,Diplock,7 Graedel Court,551-677-0497
Tabby,Dymock,Anthes,88 Cottonwood Street,12/11/2009,Tsubame,(617) 5036227,Graduate,Female,2009,1st grade,2010,0,1995,,,Amandie,Dymock,88 Cottonwood Street,Annmaria,Cudihy,3813 Green Road,489-748-8686
Dixie,Wandrey,Harry,4862 Manley Street,2/28/2013,Dongming Chengguanzhen,(358) 4817303,Graduate,Female,1987,1st grade,2011,0,1995,,,Elnora,Wandrey,4862 Manley Street,Malva,Wetherhead,063 Mccormick Terrace,366-562-9545
Paulina,Lettington,Cabrer,59904 Brickson Park Junction,10/22/2001,Betong,(726) 3138579,Undergraduate,Female,1999,1st grade,2009,0,2013,University of the Philippines,Ateneo de Manila University,Arlyne,Lettington,59904 Brickson Park Junction,Susanetta,Eyre,53212 Del Sol Way,165-495-0458
Sally,Toffanelli,Hadfield,690 Tomscot Terrace,1/9/1994,Huangben,(375) 1216006,Graduate,Female,2006,1st grade,1985,0,2002,,,Alvira,Toffanelli,690 Tomscot Terrace,Flossi,Itzhayek,914 Bluestem Court,488-987-7341
Rozelle,Laffan,Corn,8704 Stang Crossing,4/30/2007,Maiyema,(741) 6739511,Graduate,Female,2001,1st grade,2010,1995,1989,,,Marcile,Laffan,8704 Stang Crossing,Deedee,Oland,25 Lillian Parkway,794-195-7243
Adrianne,Petroff,Oakey,43 Marquette Center,7/16/2012,Mingguang,(230) 9225060,Undergraduate,Female,1998,1st grade,2012,0,1993,,,Ramona,Petroff,43 Marquette Center,Arabelle,Westwell,374 Florence Junction,134-107-7389
Saxe,Marney,MacCafferky,64256 Mccormick Parkway,5/27/1994,Polunochnoye,(311) 6869559,Undergraduate,Male,2010,1st grade,2009,2000,2004,,,Stanislas,Marney,64256 Mccormick Parkway,Verney,Zienkiewicz,3 Tomscot Park,445-269-3609
Marlo,Worgen,Dachey,2 Quincy Pass,10/29/1999,Trbovlje,(810) 4802622,Undergraduate,Female,2013,1st grade,2006,0,2006,,,Reba,Worgen,2 Quincy Pass,Esma,Stoney,54 Atwood Street,860-410-4937
Isador,Baal,Hatfull,40675 Dwight Trail,12/18/1998,Waihai,(483) 6618657,Undergraduate,Male,1989,1st grade,2012,0,1998,,,Henry,Baal,40675 Dwight Trail,Hagan,Mowsdale,0348 Straubel Circle,452-771-8566
Northrop,Bovis,Gatman,77 Annamark Drive,9/26/2007,Perdﾃｵes,(959) 5431038,Graduate,Male,2000,1st grade,2002,0,1988,University of Santo Tomas,Ateneo de Manila University,Silvano,Bovis,77 Annamark Drive,Steve,Purslow,03939 Milwaukee Crossing,124-147-6441
Felicle,Gilcriest,Caroli,0 Sunfield Street,7/5/1999,Dubravica,(668) 3651807,Undergraduate,Female,2000,1st grade,1994,0,2012,,,Albertina,Gilcriest,0 Sunfield Street,Juliette,Hiseman,80 Beilfuss Circle,189-751-1718
Aurelea,Macveigh,Blais,25205 Londonderry Court,4/24/2001,Newark,(973) 7742476,Graduate,Female,1984,1st grade,2000,0,1999,,,Laurella,Macveigh,25205 Londonderry Court,Val,Runnalls,4093 Oakridge Center,532-214-6454
Cherry,Spikings,Goghin,4 Dryden Park,7/17/1998,Souto da Costa,(660) 9239579,Graduate,Female,1988,1st grade,2008,0,2007,,,Andie,Spikings,4 Dryden Park,Doralynne,Willey,1 Badeau Hill,990-728-3899
Mikel,Greschik,Westmore,2 Mccormick Circle,11/11/2003,Ya・・ngan,(407) 9125636,Undergraduate,Male,1999,1st grade,1994,0,1996,,,Wes,Greschik,2 Mccormick Circle,Somerset,Avrashin,39244 Beilfuss Place,506-460-7227
Farra,Josipovic,Mullord,3022 Lien Trail,10/31/2002,Santo Amaro,(430) 5562891,Graduate,Female,1997,1st grade,2007,0,1986,,,Mirella,Josipovic,3022 Lien Trail,Pammie,Canacott,26 John Wall Center,509-347-3475
Jere,Foskew,Dashwood,467 Onsgard Circle,6/2/1997,Kuala Bhee,(612) 6862900,Undergraduate,Male,1998,1st grade,2013,1965,1995,,,Spencer,Foskew,467 Onsgard Circle,Fredek,Winterflood,3 Blaine Circle,909-190-6584
Julee,Cuschieri,Beardsdale,1943 Wayridge Park,4/17/2003,Stockton,(209) 5837745,Graduate,Female,2003,1st grade,1992,0,1997,,,Binnie,Cuschieri,1943 Wayridge Park,Athene,Tolson,68826 Bowman Point,778-487-9462
Misha,Bourgour,Hulmes,865 Anzinger Junction,6/17/2004,Baitang,(360) 8941684,Undergraduate,Female,1992,1st grade,2005,0,2006,De La Salle University,Ateneo de Manila University,Morganica,Bourgour,865 Anzinger Junction,Agathe,Buyers,8 Forest Dale Plaza,350-284-9271
Ellissa,Wychard,Trathan,6112 Lighthouse Bay Place,9/15/2009,Nanganumba,(133) 1013296,Graduate,Female,1957,1st grade,1992,0,1994,,,Gillian,Wychard,6112 Lighthouse Bay Place,Shea,Priden,7477 Merrick Trail,542-762-4674
Matthieu,Maletratt,Harsent,576 Schiller Lane,9/13/2006,Ludvika,(256) 2258792,Graduate,Male,1992,1st grade,1996,1998,1993,University of the Philippines,Ateneo de Manila University,Constantine,Maletratt,576 Schiller Lane,Bailie,Ostler,0 Vernon Road,650-524-5830
Amelita,Petters,Reily,9216 Kedzie Hill,12/26/1995,Shaguotun,(101) 4376794,Undergraduate,Female,1995,1st grade,2002,0,1993,,,Berrie,Petters,9216 Kedzie Hill,Tova,Dine-Hart,63 Messerschmidt Parkway,750-640-6117
Aubrey,Hunsworth,Farran,2 Logan Plaza,3/3/2009,Zelenodolsk,(881) 7943949,Graduate,Male,1999,1st grade,2010,0,2009,,,Jereme,Hunsworth,2 Logan Plaza,Rooney,Sambath,779 Brown Place,780-161-5288
Rufe,Curwen,Tollmache,804 Park Meadow Court,1/12/2005,Bronx,(917) 2028539,Graduate,Male,2007,1st grade,2006,0,1994,,,Siegfried,Curwen,804 Park Meadow Court,Elbert,Burgill,003 Lyons Park,455-502-9727
Mozes,Du Plantier,Aggett,4 Menomonie Junction,3/7/2007,Laranjeiras,(139) 6455835,Undergraduate,Male,2013,1st grade,1991,0,2001,,,Korey,Du Plantier,4 Menomonie Junction,Sigismund,Klawi,08391 Meadow Ridge Plaza,749-473-3312
Tynan,Chown,Bale,32827 Lyons Park,3/1/2009,Sandviken,(918) 3753764,Undergraduate,Male,2006,1st grade,1988,0,1993,De La Salle University,Ateneo de Manila University,Yul,Chown,32827 Lyons Park,Sky,Vokes,323 Heffernan Point,230-938-2135
Ardra,Plews,Dani,52177 Brentwood Way,9/10/2013,Reutlingen,(837) 7366900,Graduate,Female,1994,1st grade,1997,0,1994,,,Alicea,Plews,52177 Brentwood Way,Bibi,Skakunas,2253 Graceland Street,292-707-6163
Serene,O'Lunney,Broome,8527 Packers Park,5/9/1997,Chillia,(146) 7335739,Graduate,Female,2001,1st grade,2010,2010,2005,,,Casey,O'Lunney,8527 Packers Park,Trudie,Shard,13 Logan Alley,203-116-3787
Davidson,Spyer,Gosz,00056 Anniversary Road,2/2/1998,Campo Largo,(698) 9754542,Undergraduate,Male,1967,1st grade,1990,2000,2008,University of the Philippines,Ateneo de Manila University,Nicol,Spyer,00056 Anniversary Road,Vinny,Godfray,245 Park Meadow Terrace,395-607-3099
Rogerio,Leat,Tinsey,34 Armistice Place,9/22/2013,Decatur,(678) 8959405,Undergraduate,Male,2002,1st grade,2010,0,2007,,,Isidro,Leat,34 Armistice Place,Riccardo,Mc Gaughey,31026 Merchant Drive,458-765-0056
Goddard,Mabee,Wrotham,07 Spenser Way,2/16/2013,Lenchwe Le Tau,(949) 2778321,Graduate,Male,2001,1st grade,1995,0,1997,,,Thom,Mabee,07 Spenser Way,Christiano,Pill,4 Surrey Place,903-785-7849
Cordey,Blinerman,Hamshar,3 Rigney Place,8/14/2002,Primorskiy,(489) 5658927,Undergraduate,Female,2006,1st grade,1998,0,2006,,,Jacinta,Blinerman,3 Rigney Place,Velma,Petruk,489 Carey Way,734-465-5252
Amity,Hugo,Kunkel,63 Jackson Way,10/27/2010,ﾅ・ﾄ・kawica,(650) 4781033,Graduate,Female,2007,1st grade,1994,0,2005,,,Nicholle,Hugo,63 Jackson Way,Aidan,Meatyard,1 Evergreen Parkway,723-730-4883
Moyna,Eriksson,Glover,1650 Leroy Street,6/1/2007,Changning,(577) 8885127,Graduate,Female,2000,1st grade,2001,0,2007,,,Sada,Eriksson,1650 Leroy Street,Simonette,Rolley,15333 Stoughton Drive,407-875-2025
Klarrisa,Trewhela,Loadman,873 Walton Trail,7/23/2006,Vagos,(632) 4843795,Undergraduate,Female,2007,1st grade,2010,0,2011,,,Harriett,Trewhela,873 Walton Trail,Philippine,Treneer,61 Meadow Vale Hill,230-294-5927
Marne,Cuncliffe,Kiddie,91 Bartillon Trail,7/31/1999,Karangsono,(133) 9316834,Undergraduate,Female,1992,1st grade,2006,0,1996,,,Helen,Cuncliffe,91 Bartillon Trail,Harrietta,Bowland,78 Dakota Alley,212-589-0939
Lorilyn,Pilling,MacCosto,8 Fordem Lane,8/10/2002,Oliver,(373) 2195246,Undergraduate,Female,2003,1st grade,1996,1997,2012,,,Wendie,Pilling,8 Fordem Lane,Dorolice,Akett,28386 Merchant Road,232-188-7949
Stefanie,Marvelley,Grzeskowski,97127 Jana Trail,8/8/2008,Waihibar,(390) 3306445,Graduate,Female,2009,1st grade,2006,0,2011,,,Kathleen,Marvelley,97127 Jana Trail,Evangelin,Kliemke,8 Annamark Point,519-822-4127
Brett,Brabant,Domenicone,3 Garrison Place,6/25/2005,Duluth,(678) 6475894,Graduate,Male,1993,1st grade,1996,0,2003,,,Shermy,Brabant,3 Garrison Place,Morie,Spilsbury,934 Miller Crossing,711-865-9662
Hilary,Kneller,Pedro,3161 Homewood Center,4/11/2004,Kawaguchi,(562) 9192115,Graduate,Female,1998,1st grade,2010,0,2003,University of Santo Tomas,Ateneo de Manila University,Rhiamon,Kneller,3161 Homewood Center,Opaline,Dinis,422 Hallows Parkway,189-140-0179
Fraze,Boanas,Clarycott,9 Talmadge Plaza,1/28/2012,Tomsk,(790) 5993029,Graduate,Male,1993,1st grade,2007,0,1996,University of the Philippines,Ateneo de Manila University,Dallon,Boanas,9 Talmadge Plaza,Byrom,Capron,7119 Banding Park,614-216-9402
Delinda,Galilee,Auty,95 Sauthoff Junction,4/25/1999,Kamenickﾃｽ ﾅenov,(155) 4804362,Graduate,Female,2007,1st grade,2002,0,2012,University of the Philippines,Ateneo de Manila University,Sindee,Galilee,95 Sauthoff Junction,Hesther,Fargie,9004 Lerdahl Point,142-707-6402
Land,Tench,Lacer,998 Buhler Alley,9/16/2014,Al Badﾄ・rﾄｫ,(740) 1821226,Graduate,Male,2006,1st grade,1993,0,2006,,,Calv,Tench,998 Buhler Alley,Barton,Schoffel,98829 Bashford Pass,606-867-2944
Tonya,Hamblett,Kix,5501 Sutteridge Road,10/31/2012,Ravﾄ・nsar,(568) 8489553,Graduate,Female,2003,1st grade,2004,0,2005,University of the Philippines,Ateneo de Manila University,Agnesse,Hamblett,5501 Sutteridge Road,Angelique,Tarney,38 Autumn Leaf Circle,293-121-8766
Peder,Denerley,Gilchrist,40 Esker Parkway,5/31/2010,Linxi,(334) 7193638,Undergraduate,Male,1988,1st grade,2006,0,2008,University of the Philippines,Ateneo de Manila University,Warren,Denerley,40 Esker Parkway,Collin,Stallion,2465 Meadow Vale Center,440-780-4159
Thornton,Veryard,Gulc,53 Green Hill,7/13/2010,Karema,(169) 1573778,Undergraduate,Male,1994,1st grade,1995,0,1993,,,Dexter,Veryard,53 Green Hill,Ripley,Reffe,41 Johnson Plaza,611-809-3443
Lissy,Fullicks,Booler,72942 Haas Crossing,6/15/2001,Roma,(233) 1575896,Undergraduate,Female,2000,1st grade,2012,0,2010,,,Estel,Fullicks,72942 Haas Crossing,Kristel,Cranefield,36 Gulseth Court,206-851-3462
Douglas,Bountiff,Shimmings,72773 Shelley Parkway,8/8/1996,Sollefteﾃ･,(662) 1235253,Graduate,Male,2009,1st grade,1988,0,2008,,,Somerset,Bountiff,72773 Shelley Parkway,Durant,Kopec,5061 Coolidge Park,588-267-1402
Athena,Driutti,Grimm,11353 Merrick Terrace,4/4/2013,Balingueo,(136) 9172522,Graduate,Female,1999,1st grade,1991,0,2004,,,Gwen,Driutti,11353 Merrick Terrace,Nathalie,Petz,2972 Brown Parkway,760-980-3930
Beverley,Cheley,Furmonger,1 Truax Court,6/12/2010,Pato Branco,(277) 7524264,Undergraduate,Female,2004,1st grade,2010,0,1996,,,Deirdre,Cheley,1 Truax Court,Loretta,Wandrach,0 Kingsford Lane,917-728-1635
Lorilyn,Runnalls,Gross,39164 Rieder Center,1/3/2014,Creighton,(867) 5523857,Undergraduate,Female,2000,1st grade,2005,0,1981,,,Theodosia,Runnalls,39164 Rieder Center,Tiffy,Rawe,52942 Eastwood Lane,693-958-6631
Launce,Bertin,Fonquernie,290 Monument Pass,4/1/1999,Bailu,(848) 6904389,Undergraduate,Male,2012,1st grade,2003,0,2008,,,Byram,Bertin,290 Monument Pass,Hamnet,Bottrell,84 International Court,927-881-9393
Abe,Wapple,Olin,99537 Grasskamp Lane,8/16/2008,Chirilagua,(926) 5627805,Undergraduate,Male,1989,1st grade,1993,0,1989,University of the Philippines,Ateneo de Manila University,Jim,Wapple,99537 Grasskamp Lane,Thibaut,Maunders,39 Surrey Center,339-805-7360
Filberto,Paschek,Gantzman,79 Hayes Place,4/1/1999,Xiaohe,(739) 3381851,Undergraduate,Male,1988,1st grade,2009,0,1992,,,Avery,Paschek,79 Hayes Place,Daron,Saintpierre,93 Spenser Plaza,542-958-2470
Evan,Drinan,Butson,2 Summit Terrace,2/14/2009,Tlogowetan,(286) 3910679,Graduate,Male,2004,1st grade,2001,0,1992,,,Torry,Drinan,2 Summit Terrace,Hobard,Bilton,07 Northridge Alley,226-552-1199
Rebeca,Matchell,Garfirth,390 Marquette Drive,8/19/2012,El Vigﾃｭa,(388) 7976006,Graduate,Female,1998,1st grade,2010,0,2008,,,Ardella,Matchell,390 Marquette Drive,Jody,Blondin,38 Heffernan Center,164-287-8900
Angele,Farthing,Mundall,23 Evergreen Park,4/24/2014,Lampihung,(673) 7762598,Graduate,Female,1993,1st grade,1997,0,1988,,,Debee,Farthing,23 Evergreen Park,Bonny,Phillips,82479 Jenifer Road,972-295-6509
Melantha,Issakov,Giroldi,089 Parkside Hill,2/16/1999,Karangsari,(131) 2057700,Graduate,Female,1997,1st grade,1995,0,2011,De La Salle University,Ateneo de Manila University,Carlita,Issakov,089 Parkside Hill,Roseann,Allridge,9 Oakridge Court,103-289-7613
Terri,Lambillion,Barchrameev,563 Helena Center,10/16/2005,Ersekﾃｫ,(440) 8931727,Graduate,Female,2008,1st grade,2006,0,2010,,,Tatiania,Lambillion,563 Helena Center,Toma,Kerley,46 8th Terrace,167-352-4568
Tansy,Krug,Dumphrey,1 Sauthoff Hill,12/31/2010,Narathiwat,(775) 2400879,Graduate,Female,2008,1st grade,1999,0,2007,,,Letitia,Krug,1 Sauthoff Hill,Mellicent,Coplestone,44010 6th Junction,504-360-1738
Chelsey,Volcker,Rodnight,3744 Arkansas Junction,7/2/1999,Araucﾃ｡ria,(467) 6870151,Undergraduate,Female,1992,1st grade,2005,0,2003,University of the Philippines,Ateneo de Manila University,Martie,Volcker,3744 Arkansas Junction,Kaycee,Colhoun,098 Summerview Street,495-294-1876
Ripley,Branford,Gummer,094 Rieder Center,8/27/2012,Murﾃｳw,(195) 5795475,Undergraduate,Male,2011,1st grade,1963,0,1992,,,Kevon,Branford,094 Rieder Center,Worth,O'Ruane,2 Anderson Plaza,599-378-6683
Kerry,Stallwood,Lindley,3751 Kipling Park,12/20/2011,Nyﾅｫzen,(307) 9328517,Graduate,Female,1986,1st grade,2008,0,2004,University of the Philippines,Ateneo de Manila University,Lina,Stallwood,3751 Kipling Park,Bobby,McNeill,0657 Farragut Plaza,345-851-3200
Ingmar,Byllam,Turbitt,352 Trailsway Street,2/4/2011,Bogorodskoye,(978) 6386225,Undergraduate,Male,2009,1st grade,1990,0,1998,,,Rudolfo,Byllam,352 Trailsway Street,Claudio,Aubert,92 Granby Trail,995-552-2892
Sela,Simonyi,McKaile,27 Muir Pass,6/4/1999,Aﾅ｣ ﾅ｢afﾄｫlah,(488) 5174888,Graduate,Female,2005,1st grade,2003,0,2010,,,Dorotea,Simonyi,27 Muir Pass,Theresa,Wetherill,0 Prairieview Place,430-767-0852
Fletcher,Peaurt,Challiner,34497 Homewood Avenue,1/19/2012,Uyuni,(744) 3132522,Undergraduate,Male,1993,1st grade,2008,0,2002,,,Tadio,Peaurt,34497 Homewood Avenue,Marshal,Mcsarry,8 Redwing Pass,692-446-1309
Adela,Whitley,Froom,839 Hoepker Street,3/3/2009,Cikuda,(575) 5358141,Undergraduate,Female,2009,1st grade,2006,0,1968,University of Santo Tomas,Ateneo de Manila University,Ashely,Whitley,839 Hoepker Street,Esme,Shillington,79 Jenifer Drive,795-988-9901
Diannne,Fereday,Pasquale,9518 Morning Alley,1/23/2011,Tigbinan,(620) 7541559,Undergraduate,Female,1965,1st grade,1991,0,2004,,,Cyb,Fereday,9518 Morning Alley,Bernadine,Brimelow,96 Corscot Drive,732-847-2695
Dori,Becom,Delete,95 Southridge Plaza,5/10/2006,Ise,(762) 3727003,Graduate,Female,1997,1st grade,1998,0,2005,,,Morgan,Becom,95 Southridge Plaza,Fayette,Hiddersley,9681 Evergreen Alley,200-316-1877
Artus,Piffe,Rydzynski,50308 Union Hill,7/6/2000,Tiecun,(778) 9011047,Graduate,Male,2004,1st grade,2001,0,1997,,,Wendel,Piffe,50308 Union Hill,Ira,Wilfling,8288 New Castle Trail,972-952-4882
Sheila-kathryn,Bazely,Greyes,9 School Park,10/14/2008,Sulﾅｫk,(848) 1155449,Undergraduate,Female,1992,1st grade,1993,0,2007,University of the Philippines,Ateneo de Manila University,Eliza,Bazely,9 School Park,Danni,Durtnal,4040 Oak Valley Trail,316-217-2368
Kahlil,Schanke,Josefs,0460 Chive Place,4/2/2008,San Quintin,(874) 9421493,Undergraduate,Male,1996,1st grade,2009,0,2000,,,Dav,Schanke,0460 Chive Place,Rafe,Ash,503 Kinsman Street,209-834-8643
Celie,Chastel,Sherr,9 Towne Crossing,9/1/2004,Maleevsk,(701) 2620261,Undergraduate,Female,2012,1st grade,2010,0,1997,University of the Philippines,Ateneo de Manila University,Mady,Chastel,9 Towne Crossing,Afton,Le Marchand,6692 Randy Crossing,357-348-1497
Herman,Miranda,Blankau,23 Hudson Circle,5/29/2002,Zaﾅ・uski,(380) 3624121,Graduate,Male,2012,1st grade,1988,0,2011,,,Darcy,Miranda,23 Hudson Circle,Rodolph,McCreedy,3118 Kennedy Way,824-895-9616
Padraic,Storah,Papen,7 Eastlawn Way,2/1/1999,Kayima,(245) 4494639,Undergraduate,Male,2005,1st grade,1993,0,2010,University of Santo Tomas,Ateneo de Manila University,Bay,Storah,7 Eastlawn Way,Meredeth,Ridolfo,05417 Fremont Street,663-556-0628
Reggis,Ossipenko,Pelcheur,0 Pennsylvania Road,6/17/2003,Tibro,(830) 2072102,Graduate,Male,1995,1st grade,2007,0,1995,,,Irving,Ossipenko,0 Pennsylvania Road,Craggy,Eastmond,4204 Bluestem Plaza,496-230-6743
Sauncho,Bonifazio,Fairbeard,5 Texas Plaza,8/20/2002,Gelgaudiﾅ｡kis,(990) 7656685,Graduate,Male,2000,1st grade,2008,0,2012,,,Dunn,Bonifazio,5 Texas Plaza,Brendis,Wooderson,63694 Bultman Hill,583-412-3627
Barny,Scallan,Noden,52170 Hoffman Crossing,4/7/2003,Yukhnov,(237) 8420176,Graduate,Male,2013,1st grade,2008,1995,2000,,,Sutherlan,Scallan,52170 Hoffman Crossing,Darnell,Strooband,72591 Gulseth Point,135-314-5135
Candra,Sposito,Silman,770 Schiller Center,12/11/2000,Groningen,(612) 8514631,Undergraduate,Female,2005,1st grade,2008,0,1999,,,Rosemary,Sposito,770 Schiller Center,Karena,Rogez,05 Green Ridge Drive,793-207-0396
Nixie,Graybeal,Seaman,30 Lakewood Gardens Park,3/22/1995,Stuttgart,(593) 2639825,Undergraduate,Female,2011,1st grade,2002,0,2005,,,Odette,Graybeal,30 Lakewood Gardens Park,Babita,Claypole,1 Sage Point,916-897-5552
